순위,제목,가수,가사,장르,발매일,Month
37,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),별빛이 내린 밤 그 풍경 속 너와 나 날 새롭게 하는 따뜻하게 만드는 니 눈빛 니 미소 영원히 담아둘게 너로 가득한 맘 널 닮아가는 나 날 위한 선물 꿈보다 더 아름다운 서로의 품에서 끝 없는 밤을 걷자 나의 모든 날들을 다 주고싶어 내 이 맘을 모두 전하고 싶어 잠들지 못한 푸른 바람들 이렇게 밝게 이 밤을 비춰 너와 작은 일상을 함께 하는게 내 가장 큰 기쁨인걸 넌 알까 내 세상 속에 넌 빛이 되어 지금 모습 그대로 내 곁에만 행복이 짙은 날 어둠이 없는 밤 같은 맘 속에 같은 꿈이 피어난 건 우리의 정해진 운명이 맞닿은거야 나의 모든 날들을 다 주고싶어 내 이 맘을 모두 전하고 싶어 잠들지 못한 푸른 바람들 이렇게 밝게 이 밤을 비춰 너와 작은 일상을 함께 하는게 내 가장 큰 기쁨인걸 넌 알까 내 세상 속에 넌 빛이 되어 지금 모습 그대로 내 곁에만 내게 온 너란 빛이 눈 부셔도 네 앞에서 한 순간도 눈 감지 않아 다가올 시간도 계절의 바람도 널 데려가지 못하게 내가 더 좋은 사람이 되고 싶어 더 아름답게 널 안을 수 있게 잠들지 못한 잠들 수 없는 바람들이 널 부르고 있어 언제까지나 너와 함께 할거야 내 마지막 숨결도 너일거야 내 세상 속에 넌 빛이 되어 지금 모습 그대로 내 곁에만 이렇게 밝게 이 밤을 비춰,"R&B/Soul, 인디음악",2019.06.09,202008
38,When We Disco (Duet with 선미),박진영,"마법 같았지 When we disco when we disco 그래서 잊지를 못해 아직도 너무 그리워 When we disco when we disco 너도 기억하고 있는지 지금도  너 빼고 나머진 다 Blur 너만 보였지 (When we d.i.s.c.o.) 빨려 들어갔어 Rapture 밤이 새도 몰랐지 넌 지금 어디에 있는지 날 가끔 생각은 하는지 아름다웠던 그 시절의 우릴 Do you remember baby  마법 같았지 When we disco when we disco 그래서 잊지를 못해 아직도 너무 그리워 When we disco when we disco 너도 기억하고 있는지 지금도  춤을 추는 우리를 다 바라보았지 (When we d.i.s.c.o.) 움직임 하나하나가 전율을 일으켰지 넌 그걸 잊을 수 있는지 나처럼 잊지 못하는지 아름다웠던 그 시절의 우릴 Do you remember baby  마법 같았지 When we disco when we disco 그래서 잊지를 못해 아직도 너무 그리워 When we disco when we disco 너도 기억하고 있는지 지금도  찌른 건 하늘이 아니라 서로의 마음이었었지 기억하니 Do you remember 흔든 건 골반이 아니라 서로의 인생이었었지 Do you, do you remember baby  마법 같았지 When we disco when we disco 그래서 잊지를 못해 아직도 너무 그리워 When we disco when we disco 너도 기억하고 있는지 지금도",댄스,2020.08.12,202008
39,마음을 드려요,아이유,당신에게 드릴 게 없어서 나의 마음을 드려요 그대에게 받은 게 많아서 표현을 다 할 수가 없어요  나지막한 인사에 수많은 내 마음 고이 담아 그대에게로 건네면 내 마음 조금 알까요  어떤 이유로 만나 나와 사랑을 하고 어떤 이유로 내게 와 함께 있어준 당신  부디 행복한 날도 살다 지치는 날도 모두 그대의 곁에 내가 있어줄 수 있길  어떤 소식 보다 더 애타게 기다려지는 그대 엇갈리지 않게 여기 기다릴게요  눌러 적은 편지에 수많은 그리움 고이 담아 그대 내게로 올 때면 그 손에 쥐어줄게요  어떤 이유로 만나 나와 사랑을 하고 어떤 이유로 내게 와 함께 있어준 당신  부디 행복한 날도 살다 지치는 날도 모두 그대의 곁에 내가 있어줄 수 있길  네 번의 모든 계절들과 열두 달의 시간을 너와 숨이 차게 매일 사랑하며 함께 할게  어떤 이유로 만나 우리 사랑을 했던 지금 이 순간처럼 매일 바라보며 애써주기를  부디 행복한 날도 살다 지치는 날도 모두 그대의 곁에 내가 있어줄 수 있길  부디 추억만 남지 않길 너완,"발라드, 국내드라마",2020.02.15,202008
40,ON,방탄소년단,"I can't understand what people are sayin' 어느 장단에 맞춰야 될지 한 발자국 떼면 한 발자국 커지는 shadow 잠에서 눈을 뜬 여긴 또 어디 어쩜 서울 또 New York or Paris 일어나니 휘청이는 몸  Look at my feet, look down 날 닮은 그림자 흔들리는 건 이놈인가 아니면 내 작은 발끝인가 두렵잖을 리 없잖아 다 괜찮을 리 없잖아 그래도 I know 서툴게 I flow 저 까만 바람과 함께 날아  Hey na na na 미치지 않으려면 미쳐야 해 Hey na na na 나를 다 던져 이 두 쪽 세상에 Hey na na na Can’t hold me down cuz you know I’m a fighter 제 발로 들어온 아름다운 감옥 Find me and I'm gonna live with ya  (Eh-oh) 가져와 bring the pain oh yeah (Eh-oh) 올라타봐 bring the pain oh yeah Rain be pourin' Sky keep fallin' Everyday oh na na na (Eh-oh) 가져와 bring the pain oh yeah  Bring the pain 모두 내 피와 살이 되겠지 Bring the pain No fear, 방법을 알겠으니 작은 것에 breathe 그건 어둠 속 내 산소와 빛 내가 나이게 하는 것들의 힘 넘어져도 다시 일어나 scream  넘어져도 다시 일어나 scream 언제나 우린 그랬으니 설령 내 무릎이 땅에 닿을지언정 파묻히지 않는 이상 그저 그런 해프닝쯤 될 거란 걸 Win no matter what Win no matter what Win no matter what 네가 뭐라던 누가 뭐라던 I don't give a uhh I don't give a uhh I don't give a uhh  Hey na na na 미치지 않으려면 미쳐야 해 Hey na na na 나를 다 던져 이 두 쪽 세상에 Hey na na na Can’t hold me down cuz you know I’m a fighter 제 발로 들어온 아름다운 감옥 Find me and I'm gonna live with ya  (Eh-oh) 가져와 bring the pain oh yeah (Eh-oh) 올라타봐 bring the pain oh yeah Rain be pourin' Sky keep fallin' Everyday oh na na na (Eh-oh) 가져와 bring the pain oh yeah  나의 고통이 있는 곳에 내가 숨 쉬게 하소서 My everythin’ My blood and tears Got no fears I'm singin’ ohhhhh Oh I’m takin’ over You should know yeah Can’t hold me down cuz you know I’m a fighter 깜깜한 심연 속 기꺼이 잠겨 Find me and I’m gonna bleed with ya  (Eh-oh) 가져와 bring the pain oh yeah (Eh-oh) 올라타봐 bring the pain oh yeah Rain be pourin' Sky keep fallin' Everyday oh na na na (Eh-oh) Find me and I’m gonna bleed with ya  (Eh-oh) 가져와 bring the pain oh yeah (Eh-oh) 올라타봐 bring the pain oh yeah All that I know is just goin’ on & on & on & on (Eh-oh) 가져와 bring the pain oh yeah",랩/힙합,2020.02.21,202008
41,Monster,레드벨벳-아이린&슬기,내 움직임은 특이해 평범치 않아 1 2 5 to 7 난 어둠 속의 Dancer 온몸 뚝뚝 꺾어 침대 가까이 갈게 무시무시하게 네 심장을 훔쳐 지배해  하나의 조명 왜 그림자는 둘이야? 내 속에 다른 게 눈을 뜬 것 같아  I’m a little monster 날 겁내 널 괴롭혀 내 꿈만 꾸게 해 난 춤 추고 놀래 가위눌린 너의 그 몸 위에 주문을 걸면  I’m a little monster I’m a little monster  차가운 땅 잿더미에서 일어났어 황혼에서 새벽 난 여전히 존재해 이 광기가 싫지 않아 즐기고 있는 걸 넌 벗어날 수 없어 도망가지를 마 다쳐  너를 구원하고 도로 약 올리고 Oh 난 완벽하고 다시 엉망인 걸  I’m a little monster 날 겁내 널 괴롭혀 내 꿈만 꾸게 해 난 춤 추고 놀래 가위눌린 너의 그 몸 위에 주문을 걸면  I’m a little monster I’m a little monster  봐 난 그냥 놀고 있어 나쁜 의도 없어 작지만 위험한 날 누가 거부하겠어 빨간 동이 틀 시간이야 이제 안심한 넌 꿈에서 나오려 해 But monster lives forever  I’m a little monster 날 겁내 널 괴롭혀 내 꿈만 꾸게 해 난 춤 추고 놀래 가위눌린 너의 그 몸 위에 주문을 걸면  I’m a little monster I’m a little monster I’m a little monster,댄스,2020.07.06,202008
42,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,네가 없이 웃을 수 있을까 생각만 해도 눈물이나 힘든 시간 날 지켜준 사람 이제는 내가 그댈 지킬 테니 너의 품은 항상 따뜻했어 고단했던 나의 하루에 유일한 휴식처 나는 너 하나로 충분해 긴 말 안 해도 눈빛으로 다 아니깐 한 송이의 꽃이 피고 지는 모든 날 모든 순간 함께해 햇살처럼 빛나고 있었지 나를 보는 네 눈빛은 꿈이라고 해도 좋을 만큼 그 모든 순간은 눈부셨다 불안했던 나의 고된 삶에 한줄기 빛처럼 다가와 날 웃게 해준 너 나는 너 하나로 충분해 긴 말 안 해도 눈빛으로 다 아니깐 한 송이의 꽃이 피고 지는 모든 날 모든 순간 함께해 알 수 없는 미래지만 네 품속에 있는 지금 순간 순간이 영원 했으면 해 갈게 바람이 좋은 날에 햇살 눈부신 어떤 날에 너에게로 처음 내게 왔던 그날처럼 모든 날 모든 순간 함께해,"발라드, 국내드라마",2018.03.20,202008
43,거짓말이라도 해서 널 보고싶어,백지영,내가 미안해 이렇게 아플 줄도 모르고 너에게 모질게도 대했던 바보야 후회에 맘을 담아 봤자 이미 끝난 걸 이제 다시는 너를 볼 수 없잖아 거짓말이라도 해서 널 보고싶어 줄게 남아있다고 억지를 부리곤 한번 더 너를 보고싶어 나 많이 구차하지만 네 맘을 돌릴 수 있다면 다시 날 사랑하게 할 수 있다면 내가 그대를 기다릴게요 어제는 하루 종일 펑펑 울었어 아직까지도 너의 온기가 내 맘을 감싸 안아서 내 맘을 왜 몰라주냐며 슬프게 울고 있던 너를 그저 바라보기만 했었던 나야 거짓말이라도 해서 널 보고싶어 줄게 남아있다고 억지를 부리곤 한번 더 너를 보고싶어 나 많이 구차하지만 네 맘을 돌릴 수 있다면 다시 날 사랑하게 할 수 있다면 내가 그대를 기다릴게요 나를 버리지마 내가 잘못했어 잠시 동안 내가 미쳤었나봐 가슴이 찢어질 듯이 아파 제발 가지마 내게 잘 지내라고 말하지마 거짓말이었어 확인받고 싶어서 사랑받고 싶어서 네 맘을 찢어놓고 이기적인 사랑을 했었나봐 내가 미친게 맞아 이제 와서 후회가 돼 그렇게 잘해줬던 너였는데 내가 그대를 놓친 거에요 나 같은 사람 만나지마요,발라드,2020.07.14,202008
44,Psycho,Red Velvet (레드벨벳),Psycho  널 어쩌면 좋을까 이런 맘은 또 첨이라 Up & Down이 좀 심해 조절이 자꾸 잘 안돼 하나 확실한 건 I don’t play the game  우리 진짜 별나대 그냥 내가 너무 좋아해 넌 그걸 너무 잘 알고 날 쥐락펴락해 나도 마찬가지인걸  우린 참 별나고 이상한 사이야 서로를 부서지게 (부서지게) 그리곤 또 껴안아 (그리곤 또 껴안아)  You got me feeling like a psycho psycho 우릴 보고 말해 자꾸 자꾸 다시 안 볼 듯 싸우다가도 붙어 다니니 말야 이해가 안 간대 웃기지도 않대  맞아 Psycho psycho 서로 좋아 죽는 바보 바보 너 없인 어지럽고 슬퍼져 기운도 막 없어요 둘이 잘 만났대 Hey now we’ll be ok  Hey trouble 경고 따윈 없이 오는 너 I’m original visual 우린 원래 이랬어 Yeah 두렵지는 않아 (흥미로울 뿐) It’s hot! Let me just hop 어떻게 널 다룰까? Ooh  어쩔 줄을 몰라 너를 달래고 매섭게 발로 차도 가끔 내게 미소 짓는 널 어떻게 놓겠어 Ooh  우린 아름답고 참 슬픈 사이야 서로를 빛나게 해 (Tell me now) 마치 달과 강처럼 그리곤 또 껴안아  You got me feeling like a psycho psycho 우릴 보고 말해 자꾸 자꾸 다시 안 볼 듯 싸우다가도 붙어 다니니 말야 이해가 안 간대 웃기지도 않대  맞아 Psycho psycho 서로 좋아 죽는 바보 바보 너 없인 어지럽고 슬퍼져 기운도 막 없어요 둘이 잘 만났대 Hey now we’ll be ok  Don’t look back 그렇게 우리답게 가보자 난 온몸으로 널 느끼고 있어 Everything will be ok  (You got me feeling like a psycho) Like a psycho psycho 우릴 보고 말해 자꾸 자꾸 다시 안 볼 듯 싸우다가도 붙어 다니니 말야 둘이 잘 만났대 Hey now we’ll be ok  Hey now we’ll be ok Hey now we’ll be ok Hey now we’ll be ok Hey now we’ll be ok  It’s alright It’s alright  Hey now we’ll be ok Hey now we’ll be ok Hey now we’ll be ok Hey now we’ll be ok  It’s alright It’s alright  우린 좀 이상해 Psycho,댄스,2019.12.23,202008
45,우리 왜 헤어져야 해,신예영,이런 말 하기까지가 참 어려워서 그대를 보낼 준비가 되질 않아서 아프고 또 아파서 이젠 무뎌진 걸까 나의 욕심인가 봐 서운한 말을 하는 게 너무 미안했어 그토록 바라고 또 바랬던 서롤 볼 수 없을까 봐 그랬나 봐 내가 헤어지고 나서야 궁금해진 말 우리 왜 헤어져야 해 혹시 내가 잘못 한 게 있다면 한 번 더 내게 기회를 준다면 내가 더 노력할게 네가 싫어하던 행동도 다신 하지 않을게 돌아와 나를 꼭 안아줘 마음이 변한 거라면 솔직했음 해 내가 좀 구차해지면 다 잊혀질까 널 다시 외면하고 지낼 수 있을까 원래 없었던 것처럼 나 정말 나는 헤어지기 싫어 네가 너무 보고파 네가 자꾸 생각나 내게 돌아와 줘 그때 널 붙잡지 못했던 나를 용서한다면 돌아와 나를 꼭 안아줘 많이 사랑하나 봐 비참해진 나지만 이렇게라도 해서 널 다시 만날 수 있게 되면 너무 밉다고 그냥 네게 안겨서 왜 이제서야 돌아왔냐고 울고불고 소리칠 텐데 나는 헤어지기 싫어 하고 싶은 말이 많은데 혼자 두고 가지 말라고 네 손을 붙잡아도 끝을 혼자 정해버리고 왜 날 두고 떠나가 다신 보지도 않을 사람처럼 아직 헤어지기 싫어 네가 아직 좋아서 찢어질 듯 아파와 그런 말 하지 마 내가 잘못 한 게 있다면 내가 미안하다고 제발 날 떠나지 말아 줘,발라드,2019.11.20,202008
46,이제 나만 믿어요,임영웅,무얼 믿은 걸까 부족했던 내게서 나조차 못 믿던 내게 여태 머문 사람 무얼 봤던 걸까 가진 것도 없던 내게 무작정 내 손을 잡아 날 이끈 사람 최고였어 그대 눈 속에 비친 내 모습 이제는 내게서 그댈 비춰줄게 궂은 비가 오면 세상 가장 큰 그대 우산이 될게 그댄 편히 걸어가요 걷다가 지치면 내가 그대를 안고 어디든 갈게 이제 나만 믿어요 나만 두고 가던 나만 스쳐 간 행운이 모여 그대가 되어서 내게 와준 거야 궂은 비가 오면 세상 가장 큰 그대 우산이 될게 그댄 편히 걸어가요 걷다가 지치면 내가 그대를 안고 어디든 갈게 이제 나만 믿어요 나의 마지막 주인공이 되어 다신 누구 앞에서도 그대는 고개 숙이지 마요 내가 보지 못했던 홀로 고단했던 시간 고맙고 미안해요 사랑해요 이 세상은 우리를 두고 오랜 장난을 했고 우린 속지 않은 거야 이제 울지 마요 좋을 땐 밤새도록 맘껏 웃어요 전부 그대 꺼니까 그대는 걱정 말아요 이제 나만 믿어요,성인가요/트로트,2020.04.03,202008
47,오래된 노래,스탠딩 에그,오래 전에 함께 듣던 노래가 발걸음을 다시 멈춰서게 해 이 거리에서 너를 느낄 수 있어 널 이 곳에서 꼭 다시 만날 것 같아 너 일까봐 한번더 바라보고 너 일까봐 자꾸 돌아보게 돼 어디선가 같은 노래를 듣고 날 생각하며 너 역시 멈춰있을까 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 내 사랑이 그대로인 것처럼 발걸음이 여길 찾는 것처럼 꼭 만날꺼야 지금 이 노래처럼 날 사랑하는 네 맘도 같을테니까 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로 운명처럼 아니면 우연처럼 우리가 다시 예전처럼 만날 수 있다면 너에게 나 해주고 싶은 말이 하나 있어 널 다시는 놓치지 않을게 오래 전에 함께 듣던 노래가 거리에서 내게 우연히 들려온 것처럼 살아가다 한번쯤 우연히 만날 것 같아 사랑했던 그 모습 그대로,"인디음악, 포크/블루스",2012.09.04,202008
